date,buying_rate,selling_rate
2026-04-29,1.9702,2.0402
2026-04-30,1.9629,2.0323
2026-05-01,1.9629,2.0323
2026-05-02,1.9629,2.0323
2026-05-03,1.9629,2.0323
2026-05-04,2.0028,2.0722
2026-05-05,2.0013,2.0707
2026-05-06,1.9963,2.0657
2026-05-08,2.0178,2.0872
2026-05-09,2.0178,2.0872
2026-05-10,2.0178,2.0872
2026-05-11,2.0178,2.0872
2026-05-12,2.0156,2.085
2026-05-14,2.0377,2.1085
2026-05-15,2.0377,2.1085
2026-05-16,2.0379,2.1087
2026-05-17,2.0379,2.1087
2026-05-23,2.0469,2.1303
2026-05-24,2.0469,2.1303
